ResearchStudy,,,,,,,
,id,column,Id,show,string,,
,title,column,Title,show,string,,"Name for this study"
,status,column,Status,show,code,,"active | administratively-completed | approved | closed-to-accrual | closed-to-accrual-and-intervention | completed | disapproved | in-review | temporarily-closed-to-accrual | temporarily-closed-to-accrual-and-intervention | withdrawn"
,category,column,Category,show,CodeableConcept,,"Classifications for the study"
,focus,column,Focus,show,CodeableConcept,,"Drugs, devices, etc. under study"
,sponsor,column,Sponsor,show,Reference,,"Organization that initiates and is legally responsible for the study"
,arm,column,Arm,hide,BackboneElement,,"Defined path through the study for a subject"
,category,"search parameter",category,show,CodeableConcept,,"Classifications for the study"
,condition,column,Condition,hide,CodeableConcept,,"Condition being studied"
,contact,column,Contact,hide,ContactDetail,,"Contact details for the study"
,description,column,Description,hide,markdown,,"What this is study doing"
,enrollment,column,Enrollment,hide,Reference,,"Inclusion & exclusion criteria"
,focus,"search parameter",focus,show,CodeableConcept,,"Drugs, devices, etc. under study"
,identifier,"search parameter",identifier,show,Identifier,,"Business Identifier for study"
,identifier,column,Identifier,hide,Identifier,,"Business Identifier for study"
,keyword,"search parameter",keyword,show,CodeableConcept,,"Used to search for the study"
,keyword,column,Keyword,hide,CodeableConcept,,"Used to search for the study"
,location,column,Location,hide,CodeableConcept,,"Geographic region(s) for study"
,note,column,Note,hide,Annotation,,"Comments made about the study"
,NumAnalyses,column,"Number of Analyses",hide,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumAnalyses').value,"An ""analysis"" is a table of the results (p-values, betas) of the genome wide association analysis (GWAS) between genomic variations and phenotype. Typical analyses have millions of p-values across the genome."
,NumDocuments,column,"Number of Documents",show,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumDocuments').value,"Study collection instruments (questionnaires) or protocols describing the data collection, cleaning or analysis."
,NumMolecularDatasets,column,"Number of Molecular Datasets",hide,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumMolecularDatasets').value,"Matrices of positions on the genome, and samples from subjects, where the cells are the genotype (A/A, A/B, B/B) for a variation for that sample. Typically PLINK, .VCF or .MAF format."
,NumPhenotypeDatasets,column,"Number of Phenotype Datasets",show,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumPhenotypeDatasets').value,"Tables of demographic, clinical or exposure variables in which the rows are study participants (subjects), the columns are variables, and the cells are the value measured for that subject for that variable."
,NumSamples,column,"Number of Samples",hide,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumSamples').value,"Biological samples taken from the study participants (subjects). There can be more than one sample taken from each subject."
,NumSubjects,column,"Number of Subjects",show,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumSubjects').value,"The number of study participants in the study."
,NumSubStudies,column,"Number of Sub-studies",hide,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumSubStudies').value,"Subset of the study that is distinguished from others by separate (funding or research) focus from other arms of the study. Access control in dbGaP is at the parent study level."
,NumVariables,column,"Number of Variables",show,Count,extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content').extension('https://dbgap-api.ncbi.nlm.nih.gov/fhir/x1/StructureDefinition/ResearchStudy-Content-NumVariables').value,"A variable is demographic, clinical or exposure measurement of a study subject or sample from a subject (e.g., height, weight, blood pressure, etc)."
,objective,column,Objective,hide,BackboneElement,,"A goal for the study"
,partOf,column,"Part Of",hide,Reference,,"Part of larger study"
,period,column,Period,hide,Period,,"When the study began and ended"
,phase,column,Phase,hide,CodeableConcept,,"n-a | early-phase-1 | phase-1 | phase-1-phase-2 | phase-2 | phase-2-phase-3 | phase-3 | phase-4"
,primaryPurposeType,column,"Primary Purpose Type",hide,CodeableConcept,,"treatment | prevention | diagnostic | supportive-care | screening | health-services-research | basic-science | device-feasibility"
,principalInvestigator,column,"Principal Investigator",hide,Reference,,"Researcher who oversees multiple aspects of the study"
,protocol,column,Protocol,hide,Reference,,"Steps followed in executing study"
,reasonStopped,column,"Reason Stopped",hide,CodeableConcept,,"accrual-goal-met | closed-due-to-toxicity | closed-due-to-lack-of-study-progress | temporarily-closed-per-study-design"
,relatedArtifact,column,"Related Artifact",hide,RelatedArtifact,,"References and dependencies"
,site,column,Site,hide,Reference,,"Facility where study activities are conducted"
,status,"search parameter",status,show,code,,"active | administratively-completed | approved | closed-to-accrual | closed-to-accrual-and-intervention | completed | disapproved | in-review | temporarily-closed-to-accrual | temporarily-closed-to-accrual-and-intervention | withdrawn"
Observation,,,,,,,
,"code text","search parameter","variable name",show,,,"The display text associated with the code of the observation type"
,basedOn,column,"Based On",hide,Reference,,"Fulfills plan, proposal or order"
,bodySite,column,"Body Site",hide,CodeableConcept,,"Observed body part"
,category,column,Category,show,CodeableConcept,,"Classification of  type of observation"
,code,column,Code,show,CodeableConcept,,"Type of observation (code / type)"
,code,"search parameter",code,show,CodeableConcept,,"The code of the observation type"
,combo-code,"search parameter",combo-code,show,CodeableConcept,,"The code of the observation type or component type"
,component,column,Component,hide,BackboneElement,,"Component results"
,dataAbsentReason,column,"Data Absent Reason",hide,CodeableConcept,,"Why the result is missing"
,derivedFrom,column,"Derived From",hide,Reference,,"Related measurements the observation is made from"
,device,column,Device,hide,Reference,,"(Measurement) Device"
,effective[x],column,Effective,hide,"dateTime,Period,Timing,instant",,"Clinically relevant time/time-period for observation"
,encounter,column,Encounter,hide,Reference,,"Healthcare event during which this observation is made"
,focus,column,Focus,hide,Reference,,"What the observation is about, when it is not about the subject of record"
,hasMember,column,"Has Member",hide,Reference,,"Related resource that belongs to the Observation group"
,id,column,Id,show,string,,
,identifier,column,Identifier,show,Identifier,,"Business Identifier for observation"
,interpretation,column,Interpretation,show,CodeableConcept,,"High, low, normal, etc."
,issued,column,Issued,hide,instant,,"Date/Time this version was made available"
,method,column,Method,hide,CodeableConcept,,"How it was done"
,note,column,Note,hide,Annotation,,"Comments about the observation"
,partOf,column,"Part Of",hide,Reference,,"Part of referenced event"
,performer,column,Performer,hide,Reference,,"Who is responsible for the observation"
,referenceRange,column,"Reference Range",hide,BackboneElement,,"Provides guide for interpretation"
,specimen,column,Specimen,hide,Reference,,"Specimen used for this observation"
,status,column,Status,show,code,,"registered | preliminary | final | amended +"
,subject,column,Subject,show,Reference,,"Who and/or what the observation is about"
,value[x],column,Value,show,"Quantity,CodeableConcept,string,boolean,integer,Range,Ratio,SampledData,time,dateTime,Period",,"Actual result"
Patient,,,,,,,
,active,column,Active,show,boolean,,"Whether this patient's record is in active use"
,address,"search parameter",address,show,string,,"A server defined search that may match any of the string fields in the Address, including line, city, district, state, country, postalCode, and/or text"
,address,column,Address,show,Address,,"An address for the individual"
,address-city,"search parameter",address-city,show,string,,"A city specified in an address"
,address-country,"search parameter",address-country,show,string,,"A country specified in an address"
