Account,,,,,,,
,balance,column,Balance,hide,BackboneElement,,"Calculated account balance(s)"
,billingStatus,column,"Billing Status",show,CodeableConcept,,"Tracks the lifecycle of the account through the billing process"
,calculatedAt,column,"Calculated At",show,instant,,"Time the balance amount was calculated"
,coverage,column,Coverage,hide,BackboneElement,,"The party(s) that are responsible for covering the payment of this account, and what order should they be applied to the account"
,currency,column,Currency,show,CodeableConcept,,"The base or default currency"
,description,column,Description,hide,markdown,,"Explanation of purpose/use"
,diagnosis,column,Diagnosis,hide,BackboneElement,,"The list of diagnoses relevant to this account"
,guarantor,"search parameter",guarantor,show,reference,,"The parties ultimately responsible for balancing the Account"
,guarantor,column,Guarantor,hide,BackboneElement,,"The parties ultimately responsible for balancing the Account"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"Account number"
,identifier,column,Identifier,show,Identifier,,"Account number"
,name,"search parameter",name,show,string,,"Human-readable label"
,name,column,Name,show,string,,"Human-readable label"
,owner,"search parameter",owner,show,reference,,"Entity managing the Account"
,owner,column,Owner,show,Reference,,"Entity managing the Account"
,patient,"search parameter",patient,show,Patient,,"The entity that caused the expenses"
,period,"search parameter",period,show,date,,"Transaction window"
,procedure,column,Procedure,hide,BackboneElement,,"The list of procedures relevant to this account"
,relatedaccount,"search parameter",relatedaccount,show,reference,,"Parent and other related accounts"
,relatedAccount,column,"Related Account",hide,BackboneElement,,"Other associated accounts related to this account"
,servicePeriod,column,"Service Period",show,Period,,"Transaction window"
,status,"search parameter",status,show,code,,"active | inactive | entered-in-error | on-hold | unknown"
,status,column,Status,show,code,,"active | inactive | entered-in-error | on-hold | unknown"
,subject,"search parameter",subject,show,reference,,"The entity that caused the expenses"
,subject,column,Subject,show,Reference,,"The entity that caused the expenses"
,type,"search parameter",type,show,CodeableConcept,,"E.g. patient, expense, depreciation"
,type,column,Type,show,CodeableConcept,,"E.g. patient, expense, depreciation"
AdverseEvent,,,,,,,
,actuality,"search parameter",actuality,show,code,,"actual | potential"
,actuality,column,Actuality,show,code,,"actual | potential"
,category,"search parameter",category,show,CodeableConcept,,"wrong-patient | procedure-mishap | medication-mishap | device | unsafe-physical-environment | hospital-aquired-infection | wrong-body-site"
,category,column,Category,show,CodeableConcept,,"wrong-patient | procedure-mishap | medication-mishap | device | unsafe-physical-environment | hospital-aquired-infection | wrong-body-site"
,code,"search parameter",code,show,CodeableConcept,,"Event or incident that occurred or was averted"
,code,column,Code,show,CodeableConcept,,"Event or incident that occurred or was averted"
,contributingFactor,column,"Contributing Factor",hide,BackboneElement,,"Contributing factors suspected to have increased the probability or severity of the adverse event"
,date,"search parameter",date,show,date,,"When the event occurred"
,detected,column,Detected,show,dateTime,,"When the event was detected"
,encounter,column,Encounter,show,Reference,,"The Encounter associated with the start of the AdverseEvent"
,expectedInResearchStudy,column,"Expected In Research Study",show,boolean,,"Considered likely or probable or anticipated in the research study"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"Business identifier for the event"
,identifier,column,Identifier,show,Identifier,,"Business identifier for the event"
,location,"search parameter",location,show,reference,,"Location where adverse event occurred"
,location,column,Location,show,Reference,,"Location where adverse event occurred"
,mitigatingAction,column,"Mitigating Action",hide,BackboneElement,,"Ameliorating actions taken after the adverse event occured in order to reduce the extent of harm"
,note,column,Note,hide,Annotation,,"Comment on adverse event"
,occurrence[x],column,Occurrence,show,"dateTime,Period,Timing",,"When the event occurred"
,outcome,column,Outcome,show,CodeableConcept,,"Type of outcome from the adverse event"
,participant,column,Participant,hide,BackboneElement,,"Who was involved in the adverse event or the potential adverse event and what they did"
,patient,"search parameter",patient,show,Patient,,"Subject impacted by event"
,preventiveAction,column,"Preventive Action",hide,BackboneElement,,"Preventive actions that contributed to avoiding the adverse event"
,recordedDate,column,"Recorded Date",show,dateTime,,"When the event was recorded"
,recorder,"search parameter",recorder,show,reference,,"Who recorded the adverse event"
,recorder,column,Recorder,show,Reference,,"Who recorded the adverse event"
,resultingeffect,"search parameter",resultingeffect,show,reference,,"Effect on the subject due to this event"
,resultingEffect,column,"Resulting Effect",show,Reference,,"Effect on the subject due to this event"
,seriousness,"search parameter",seriousness,show,CodeableConcept,,"Seriousness or gravity of the event"
,seriousness,column,Seriousness,show,CodeableConcept,,"Seriousness or gravity of the event"
,status,"search parameter",status,show,code,,"in-progress | completed | entered-in-error | unknown"
,status,column,Status,show,code,,"in-progress | completed | entered-in-error | unknown"
,study,"search parameter",study,show,reference,,"Research study that the subject is enrolled in"
,study,column,Study,show,Reference,,"Research study that the subject is enrolled in"
,subject,"search parameter",subject,show,reference,,"Subject impacted by event"
,subject,column,Subject,show,Reference,,"Subject impacted by event"
,substance,"search parameter",substance,show,Reference,,"Refers to the specific entity that caused the adverse event"
,supportingInfo,column,"Supporting Info",hide,BackboneElement,,"Supporting information relevant to the event"
,suspectEntity,column,"Suspect Entity",hide,BackboneElement,,"The suspected agent causing the adverse event"
CarePlan,,,,,,,
,activity,column,Activity,hide,BackboneElement,,"Action to occur or has occurred as part of plan"
,activity-reference,"search parameter",activity-reference,show,reference,,"Activity that is intended to be part of the care plan"
,addresses,column,Addresses,show,CodeableReference,,"Health issues this plan addresses"
,based-on,"search parameter",based-on,show,reference,,"Fulfills CarePlan"
,basedOn,column,"Based On",show,Reference,,"Fulfills plan, proposal or order"
,care-team,"search parameter",care-team,show,reference,,"Who's involved in plan?"
,careTeam,column,"Care Team",show,Reference,,"Who's involved in plan?"
,category,"search parameter",category,show,CodeableConcept,,"Type of plan"
,category,column,Category,show,CodeableConcept,,"Type of plan"
